"code","entity","nr","date","vote","key","turnout"
"f","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",0.3646
"f","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",0.41
"f","Kanton Neuenburg",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0.5099
"f","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",0.5458
"f","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",0.4914
"f","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",0.446
"f","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",0.3764
"f","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",0.3985
"f","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","Stimmbeteiligung",0.378
"f","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",0.36
"gap","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",-0.0323
"gap","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","Stimmbeteiligung",-0.0136
"gap","Kanton Neuenburg",3,2012-06-17,"Managed Care","Stimmbeteiligung",-0.0076
"gap","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",-0.0064
"gap","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",-0.0175
"gap","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",-0.0137
"gap","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",-0.0226
"gap","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",-0.0404
"gap","Kanton Neuenburg",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0.0024
"gap","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",-0.0171
"gap","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",-0.0102
"gap","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",-3e-04
"gap","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",-0.0188
"gap","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",-0.0308
"gap","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","Stimmbeteiligung",-0.0243
"gap","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",-0.0267
"ref","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",0
"ref","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","Stimmbeteiligung",0
"ref","Kanton Neuenburg",3,2012-06-17,"Managed Care","Stimmbeteiligung",0
"ref","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",0
"ref","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",0
"ref","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",0
"ref","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",0
"ref","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",0
"ref","Kanton Neuenburg",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0
"ref","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",0
"ref","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",0
"ref","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",0
"ref","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",0
"ref","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",0
"ref","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","Stimmbeteiligung",0
"ref","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",0
"overall","Stadt Luzern",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",0.4437
"overall","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","Stimmbeteiligung",0.3699
"overall","Stadt Luzern",3,2012-06-17,"Managed Care","Stimmbeteiligung",0.4575
"overall","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",0.4469
"overall","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",0.3309
"overall","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",0.4507
"overall","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",0.4564
"overall","Stadt Luzern",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",0.47
"overall","Stadt Luzern",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0.5089
"overall","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",0.5317
"overall","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",0.56
"overall","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",0.4718
"overall","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",0.5258
"overall","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",0.4129
"overall","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","Stimmbeteiligung",0.34
"overall","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","Stimmbeteiligung",0.3767
"overall","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","Stimmbeteiligung",0.434
"overall","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",0.4977
"m","Stadt Luzern",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",0.4708
"m","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","Stimmbeteiligung",0.3922
"m","Stadt Luzern",3,2012-06-17,"Managed Care","Stimmbeteiligung",0.4638
"m","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",0.468
"m","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",0.3534
"m","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",0.4678
"m","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",0.468
"m","Stadt Luzern",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",0.4893
"m","Stadt Luzern",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0.5317
"m","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",0.5491
"m","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",0.5801
"m","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",0.4798
"m","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",0.5462
"m","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",0.4315
"m","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","Stimmbeteiligung",0.3652
"m","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","Stimmbeteiligung",0.3876
"m","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","Stimmbeteiligung",0.4462
"m","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",0.5248
"gap","Stadt Luzern",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",-0.0499
"gap","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","Stimmbeteiligung",-0.041
"gap","Stadt Luzern",3,2012-06-17,"Managed Care","Stimmbeteiligung",-0.0116
"gap","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",-0.0389
"gap","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",-0.0415
"gap","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",-0.0316
"gap","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",-0.0215
"gap","Stadt Luzern",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",-0.0357
"gap","Stadt Luzern",9,2013-11-24,"1 zu 12","Stimmbeteiligung",-0.0422
"gap","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",-0.0322
"gap","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",-0.0371
"gap","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",-0.0148
"gap","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",-0.0377
"gap","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",-0.0345
"gap","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","Stimmbeteiligung",-0.0468
"gap","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","Stimmbeteiligung",-0.0202
"gap","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","Stimmbeteiligung",-0.0225
"gap","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",-0.0502
"ref","Stadt Luzern",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",0
"ref","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","Stimmbeteiligung",0
"ref","Stadt Luzern",3,2012-06-17,"Managed Care","Stimmbeteiligung",0
"ref","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",0
"ref","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",0
"ref","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",0
"ref","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",0
"ref","Stadt Luzern",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",0
"ref","Stadt Luzern",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0
"ref","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",0
"ref","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",0
"ref","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",0
"ref","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",0
"ref","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",0
"ref","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","Stimmbeteiligung",0
"ref","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","Stimmbeteiligung",0
"ref","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","Stimmbeteiligung",0
"ref","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",0
"f","Stadt Luzern",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",0.4209
"f","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","Stimmbeteiligung",0.3512
"f","Stadt Luzern",3,2012-06-17,"Managed Care","Stimmbeteiligung",0.4522
"f","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",0.4291
"f","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",0.3119
"f","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",0.4362
"f","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",0.4465
"f","Stadt Luzern",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",0.4536
"f","Stadt Luzern",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0.4895
"f","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",0.5169
"f","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",0.543
"f","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",0.465
"f","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",0.5085
"f","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",0.397
"f","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","Stimmbeteiligung",0.3184
"f","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","Stimmbeteiligung",0.3674
"f","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","Stimmbeteiligung",0.4237
"f","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",0.4746
"overall","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",0.3362
"overall","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","18 bis 19 Jahre",0.2592
"overall","Kanton Neuenburg",3,2012-06-17,"Managed Care","18 bis 19 Jahre",0.1792
"overall","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",0.4354
"overall","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",0.174
"overall","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.2489
"overall","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",0.2601
"overall","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",0.3772
"overall","Kanton Neuenburg",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",0.3857
"overall","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.4551
"overall","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.42
"overall","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",0.3229
"overall","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",0.2891
"overall","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",0.29
"overall","Kanton Neuenburg",15,2015-06-14,"Erbschaftssteuer","18 bis 19 Jahre",0.2685
"overall","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",0.2688
"m","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",0.3333
"m","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","18 bis 19 Jahre",0.2482
"m","Kanton Neuenburg",3,2012-06-17,"Managed Care","18 bis 19 Jahre",0.1782
"m","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",0.4278
"m","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",0.1703
"m","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.229
"m","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",0.2469
"m","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",0.3811
"m","Kanton Neuenburg",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",0.3736
"m","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.4125
"m","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.4107
"m","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",0.3009
"m","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",0.2794
"m","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",0.2744
"m","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","18 bis 19 Jahre",0.2451
"m","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",0.2534
"f","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",0.3391
"f","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","18 bis 19 Jahre",0.2707
"f","Kanton Neuenburg",3,2012-06-17,"Managed Care","18 bis 19 Jahre",0.1802
"f","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",0.4431
"f","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",0.1778
"f","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.2692
"f","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",0.2741
"f","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",0.3731
"f","Kanton Neuenburg",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",0.3984
"f","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.504
"f","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.4302
"f","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",0.347
"f","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",0.2995
"f","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",0.307
"f","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","18 bis 19 Jahre",0.2934
"f","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",0.285
"gap","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",0.0058
"gap","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","18 bis 19 Jahre",0.0225
"gap","Kanton Neuenburg",3,2012-06-17,"Managed Care","18 bis 19 Jahre",0.002
"gap","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",0.0153
"gap","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",0.0075
"gap","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.0402
"gap","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",0.0272
"gap","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",-0.008
"gap","Kanton Neuenburg",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",0.0248
"gap","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.0915
"gap","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.0195
"gap","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",0.0461
"gap","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",0.0201
"gap","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",0.0326
"gap","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","18 bis 19 Jahre",0.0483
"gap","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",0.0316
"ref","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",-0.1226
"ref","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","18 bis 19 Jahre",-0.0744
"ref","Kanton Neuenburg",3,2012-06-17,"Managed Care","18 bis 19 Jahre",-0.1406
"ref","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",-0.0796
"ref","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",-0.1124
"ref","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",-0.1272
"ref","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",-0.115
"ref","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",-0.0514
"ref","Kanton Neuenburg",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",-0.1231
"ref","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",-0.0985
"ref","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",-0.0763
"ref","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",-0.1233
"ref","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",-0.0963
"ref","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",-0.1227
"ref","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","18 bis 19 Jahre",-0.1207
"ref","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",-0.104
"overall","Stadt Luzern",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",0.3431
"overall","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","18 bis 19 Jahre",0.2496
"overall","Stadt Luzern",3,2012-06-17,"Managed Care","18 bis 19 Jahre",0.2783
"overall","Stadt Luzern",4,2012-09-23,"Schutz vor Passivrauchen","18 bis 19 Jahre",0.3105
"overall","Stadt Luzern",5,2012-11-25,"Tierseuchengesetz","18 bis 19 Jahre",0.2075
"overall","Stadt Luzern",6,2013-03-03,"Abzockerinitiative","18 bis 19 Jahre",0.4965
"overall","Stadt Luzern",7,2013-06-09,"Volkswahl des Bundesrates","18 bis 19 Jahre",0.4214
"overall","Stadt Luzern",8,2013-09-22,"Wehrpflicht","18 bis 19 Jahre",0.4136
"overall","Stadt Luzern",9,2013-11-24,"1 zu 12","18 bis 19 Jahre",0.3615
"overall","Stadt Luzern",10,2014-02-09,"Masseneinwanderungsinitiative","18 bis 19 Jahre",0.6504
"overall","Stadt Luzern",11,2014-05-18,"Mindestlohninitiative","18 bis 19 Jahre",0.5792
"overall","Stadt Luzern",12,2014-09-28,"Einheitskrankenkasse","18 bis 19 Jahre",0.3507
"overall","Stadt Luzern",13,2014-11-30,"Pauschalsteuer","18 bis 19 Jahre",0.4215
"overall","Stadt Luzern",14,2015-03-08,"Energie- statt Mehrwertsteuer","18 bis 19 Jahre",0.4153
"overall","Stadt Luzern",15,2015-03-29,"Kantons- und Regierungsratswahlen","18 bis 19 Jahre",0.3573
"overall","Stadt Luzern",16,2015-05-10,"2. Wahlgang Regierungsratswahlen","18 bis 19 Jahre",0.3414
"overall","Stadt Luzern",17,2015-06-14,"Erbschaftssteuer","18 bis 19 Jahre",0.4
"overall","Stadt Luzern",18,2015-10-18,"National- und Ständeratswahlen","18 bis 19 Jahre",0.4619
"m","Stadt Luzern",1,2012-03-11,"Ferieninitiative","18 bis 19 Jahre",0.3779
"m","Stadt Luzern",2,2012-05-06,"Lokale Wahlen","18 bis 19 Jahre",0.2709
"m","Stadt Luzern",3,2012-06-17,"Managed Care","18 bis 19 Jahre",0.2827
