 Kanton;  Wahljahr;FDP;  CVP;  SP;  SVP;  Dem.;LPS;  LdU;  EVP;  CSP;  DSP;  GLP;  BDP;  PdA;  PSA;  POCH;  GPS;FGA;  Sol.;  SD;  Rep.;  EDU;  FPS;  Lega;  MCR;  LS;  JB;  Front;  Grüt;Übrige;  Total
Luzern;2011;23  ;39  ;16  ;27  ;;;;;;;6  ;0  ;;;;9  ;;;;;;;;;;;;;0  ;120  
Luzern;2015;25  ;38  ;16  ;29  ;;;;0  ;;;5  ;0  ;;;;7  ;;;;;;;;;;;;;0  ;120  
Luzern;2015;25  ;38  ;16  ;29  ;;;;0  ;;;5  ;0  ;;;;7  ;;;;;;;;;;;;;0  ;120  
Neuenburg;1969;35  ;1  ;38  ;;;22  ;0  ;;;;;;8  ;;;;;;;;;;;;;;;;11  ;115  
Neuenburg;1973;35  ;;41  ;;;26  ;;;;;;;6  ;;;;;;;;;;;;;;;;7  ;115  
Neuenburg;1977;30  ;;41  ;;;27  ;4  ;;;;;;6  ;;;;;;;;;;;;;;;;7  ;115  
Neuenburg;1981;29  ;;46  ;;;33  ;3  ;;;;;;4  ;;;;;;;;;;;;;;;;0  ;115  
Neuenburg;1985;31  ;;42  ;;;38  ;0  ;;;;;;4  ;;;0  ;;;;;;;;;;;;;0  ;115  
Neuenburg;1989;25  ;;45  ;;;34  ;0  ;;;;;;4  ;;;6  ;;;;;;;;;;;;;1  ;115  
Neuenburg;1993;29  ;;39  ;;;38  ;;;;;;;4  ;;;5  ;;;;;0  ;;;;;;;;;115  
Neuenburg;1997;24  ;0  ;41  ;;;38  ;;;;;;;6  ;;;5  ;;1  ;;;;;;;;;;;0  ;115  
Neuenburg;2001;25  ;;39  ;;;35  ;;;;;;;7  ;;;7  ;;2  ;;;0  ;;;;;;;;;115  
Neuenburg;2005;15  ;0  ;41  ;17  ;;25  ;;;;;;;6  ;;;10  ;;1  ;;;;;;;;;;;;115  
Neuenburg;2005;15  ;0  ;41  ;17  ;;25  ;;;;;;;6  ;;;10  ;;1  ;;;;;;;;;;;;115  
Neuenburg;2009;41  ;0  ;36  ;14  ;;;;0  ;;;;;8  ;;;14  ;;2  ;;;;;;;;;;;0  ;115  
Neuenburg;2009;41  ;0  ;36  ;14  ;;;;0  ;;;;;8  ;;;14  ;;2  ;;;;;;;;;;;0  ;115  
Neuenburg;2009;41  ;0  ;36  ;14  ;;;;0  ;;;;;8  ;;;14  ;;2  ;;;;;;;;;;;0  ;115  
Neuenburg;2009;41  ;0  ;36  ;14  ;;;;0  ;;;;;8  ;;;14  ;;2  ;;;;;;;;;;;0  ;115  
Neuenburg ;2013;35  ;1  ;33  ;20  ;;;;;;;5  ;0  ;8  ;;;12  ;;1  ;;;;;;;;;;;0  ;115  
Neuenburg ;2013;35  ;1  ;33  ;20  ;;;;;;;5  ;0  ;8  ;;;12  ;;1  ;;;;;;;;;;;0  ;115  
Neuenburg ;2013;35  ;1  ;33  ;20  ;;;;;;;5  ;0  ;8  ;;;12  ;;1  ;;;;;;;;;;;0  ;115  
Neuenburg ;2013;35  ;1  ;33  ;20  ;;;;;;;5  ;0  ;8  ;;;12  ;;1  ;;;;;;;;;;;0  ;115  
Nidwalden;1970;18  ;41  ;1  ;;;;;;;;;;;;;;;;;;;;;;;;;;;60  
Nidwalden;1974;18  ;42  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;60  
Nidwalden;1978;18  ;42  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;60  
Nidwalden;1982;22  ;35  ;1  ;;;;;;;;;;;;;;;;;;;;;;;;;;2  ;60  
Nidwalden;1986;25  ;32  ;0  ;;;;;;;;;;;;;;;;;;;;;;;;;;3  ;60  
Nidwalden;1990;22  ;30  ;;;;;;;;;;;;;;;;;;;;;;;;;;;8  ;60  
Nidwalden;1994;21  ;33  ;;;;;;;;;;;;;;;;;;;;;;;;;;;6  ;60  
Nidwalden;1998;21  ;30  ;1  ;;;;;;;;;;;;;;;;;;;;;;;;;;8  ;60  
Nidwalden;2002;19  ;24  ;2  ;7  ;;;;;;;;;;;;7  ;;;;;;;;;;;;;1  ;60  
Nidwalden;2006;18  ;23  ;1  ;10  ;;;;;;;;;;;;7  ;;;;;;;;;;;;;1  ;60  
Nidwalden;2006;18  ;23  ;1  ;10  ;;;;;;;;;;;;7  ;;;;;;;;;;;;;1  ;60  
Nidwalden;2006;18  ;23  ;1  ;10  ;;;;;;;;;;;;7  ;;;;;;;;;;;;;1  ;60  
Nidwalden;2010;17  ;18  ;1  ;19  ;;;;;;;;;;;;5  ;;;;;;;;;;;;;0  ;60  
Nidwalden;2010;17  ;18  ;1  ;19  ;;;;;;;;;;;;5  ;;;;;;;;;;;;;0  ;60  
Nidwalden;2010;17  ;18  ;1  ;19  ;;;;;;;;;;;;5  ;;;;;;;;;;;;;0  ;60  
Nidwalden;2010;17  ;18  ;1  ;19  ;;;;;;;;;;;;5  ;;;;;;;;;;;;;0  ;60  
Nidwalden;2014;15  ;17  ;3  ;17  ;;;;;;;;;;;;8  ;;;;;;;;;;;;;;60  
Nidwalden;2014;15  ;17  ;3  ;17  ;;;;;;;;;;;;8  ;;;;;;;;;;;;;;60  
Nidwalden;2014;15  ;17  ;3  ;17  ;;;;;;;;;;;;8  ;;;;;;;;;;;;;;60  
Obwalden;2014;10  ;19  ;6  ;13  ;;;;;;;;;;;;;;;;;;;;;;;;;7  ;55  
Obwalden;2014;10  ;19  ;6  ;13  ;;;;;;;;;;;;;;;;;;;;;;;;;7  ;55  
Obwalden;2014;10  ;19  ;6  ;13  ;;;;;;;;;;;;;;;;;;;;;;;;;7  ;55  
Obwalden ;1970;8  ;36  ;;;;;;;;;;;;;;;;;;;;;;;;;;;1  ;45  
Obwalden ;1974;15  ;34  ;;;;;;;;;;;;;;;;;;;;;;;;;;;2  ;51  
Obwalden ;1978;13  ;33  ;;;;;;;;;;;;;;;;;;;;;;;;;;;5  ;51  
Obwalden ;1982;14  ;33  ;;;;;;;;;;;;;;;;;;;;;;;;;;;5  ;52  
Obwalden ;1986;12  ;33  ;;;;;;;;;;;;;;;;;;;;;;;;;;;7  ;52  
Obwalden ;1990;14  ;35  ;;;;;;;;;;;;;;;;;;;;0  ;;;;;;;6  ;55  
Obwalden ;1994;14  ;37  ;;;;;;;;;;;;;;;;;;;;0  ;;;;;;;4  ;55  
Obwalden ;1998;13  ;35  ;6  ;;;;;;;;;;;;;;;;;;;;;;;;;;1  ;55  
Obwalden ;2002;11  ;29  ;8  ;7  ;;;;;;;;;;;;;;;;;;;;;;;;;;55  
Obwalden ;2006;10  ;23  ;6  ;6  ;;;;;10  ;;;;;;;;;;;;;;;;;;;;0  ;55  
Obwalden ;2006;10  ;23  ;6  ;6  ;;;;;10  ;;;;;;;;;;;;;;;;;;;;0  ;55  
Obwalden ;2006;10  ;23  ;6  ;6  ;;;;;10  ;;;;;;;;;;;;;;;;;;;;0  ;55  
Obwalden ;2010;10  ;20  ;6  ;11  ;;;;;8  ;;;;;;;;;;;;;;;;;;;;0  ;55  
Obwalden ;2010;10  ;20  ;6  ;11  ;;;;;8  ;;;;;;;;;;;;;;;;;;;;0  ;55  
Obwalden ;2010;10  ;20  ;6  ;11  ;;;;;8  ;;;;;;;;;;;;;;;;;;;;0  ;55  
Obwalden ;2010;10  ;20  ;6  ;11  ;;;;;8  ;;;;;;;;;;;;;;;;;;;;0  ;55  
Schaffhausen;1968;19  ;7  ;27  ;18  ;;;5  ;1  ;;;;;;;;;;;;;;;;;1  ;;;;2  ;80  
Schaffhausen;1972;19  ;7  ;27  ;17  ;;;4  ;2  ;;;;;;;;;;;1  ;;;;;;1  ;;;;2  ;80  
Schaffhausen;1976;19  ;7  ;25  ;16  ;;;6  ;3  ;;;;;;;2  ;;;;0  ;;;;;;0;;;;2  ;80  
Schaffhausen;1980;20  ;7  ;26  ;16  ;;;5  ;3  ;;;;;;;2  ;;;;;;;;;;0;;;;1  ;80  
Schaffhausen;1984;20  ;7  ;25  ;18  ;;;4  ;2  ;;;;;;;2  ;;;;;;;;;;;;;;2  ;80  
Schaffhausen;1988;15  ;6  ;26  ;17  ;;;2  ;2  ;;;;;;;;;1  ;;;;0  ;8  ;;;;;;;3  ;80  
Schaffhausen;1992;17  ;5  ;20  ;19  ;;;;1  ;;;;;;;;;1  ;;;;0  ;7  ;;;;;;;10  ;80  
Schaffhausen;1996;17  ;4  ;23  ;23  ;;;;2  ;;;;;;;;4  ;;;;;0  ;3  ;;;;;;;4  ;80  
Schaffhausen;2000;16  ;5  ;21  ;27  ;;;;2  ;;;;;;;;6  ;;;;;;;;;;;;;3  ;80  
Schaffhausen;2004;14  ;3  ;24  ;30  ;;;;1  ;;;;;;;;6  ;1  ;;;;0  ;;;;;;;;1  ;80  
Schaffhausen;2008;14  ;3  ;14  ;19  ;;;;1  ;;;;;;;;5  ;3  ;;;;1  ;;;;;;;;;60  
Schaffhausen;2008;14  ;3  ;14  ;19  ;;;;1  ;;;;;;;;5  ;3  ;;;;1  ;;;;;;;;;60  
Schaffhausen;2008;14  ;3  ;14  ;19  ;;;;1  ;;;;;;;;5  ;3  ;;;;1  ;;;;;;;;;60  
Schaffhausen;2008;14  ;3  ;14  ;19  ;;;;1  ;;;;;;;;5  ;3  ;;;;1  ;;;;;;;;;60  
Schaffhausen;2012;11  ;3  ;14  ;20  ;;;;1  ;;;;;;;;4  ;5  ;;;;2  ;;;;;;;;;60  
Schaffhausen;2012;11  ;3  ;14  ;20  ;;;;1  ;;;;;;;;4  ;5  ;;;;2  ;;;;;;;;;60  
Schaffhausen;2012;11  ;3  ;14  ;20  ;;;;1  ;;;;;;;;4  ;5  ;;;;2  ;;;;;;;;;60  
Schaffhausen;2012;11  ;3  ;14  ;20  ;;;;1  ;;;;;;;;4  ;5  ;;;;2  ;;;;;;;;;60  
Schaffhausen;2016;10  ;2  ;14  ;21  ;;;;1  ;;;4  ;;;;;2  ;4  ;;;;2  ;;;;;;;;;60  
Schwyz;1968;32  ;54  ;14  ;;;;;;;;;;;;;;;;;;;;;;;;;;0  ;100  
Schwyz;1972;27  ;55  ;15  ;2  ;;;;;;;;;;;;;;;;;;;;;;;;;1  ;100  
Schwyz;1976;29  ;52  ;16  ;1  ;;;;;;;;;;;;;;;;;;;;;;;;;2  ;100  
Schwyz;1980;29  ;53  ;14  ;3  ;;;;;;;;;;;;;1  ;;;;;;;;;;;;0  ;100  
Schwyz;1984;25  ;55  ;14  ;4  ;;;;;;;;;;;;;2  ;;;;;;;;;;;;;100  
Schwyz;1988;30  ;49  ;13  ;4  ;;;;;;;;;;;;4  ;;;;;;0  ;;;;;;;;100  
Schwyz;1992;34  ;48  ;11  ;5  ;;;;;;;;;;;;2  ;;;;;;;;;;;;;0  ;100  
Schwyz;1996;29  ;46  ;11  ;12  ;;;;;;;;;;;;1  ;;;;;;0  ;;;;;;;1  ;100  
Schwyz;2000;26  ;43  ;11  ;20  ;;;;;;;;;;;;;;;;;;;;;;;;;0  ;100  
Schwyz;2004;24  ;34  ;15  ;27  ;;;;;;;;;;;;;;;;;;;;;;;;;0  ;100  
Schwyz;2008;21  ;29  ;9  ;41  ;;;;;;;;;;;;;;;;;;;;;;;;;0  ;100  
Schwyz;2008;21  ;29  ;9  ;41  ;;;;;;;;;;;;;;;;;;;;;;;;;0  ;100  
Schwyz;2008;21  ;29  ;9  ;41  ;;;;;;;;;;;;;;;;;;;;;;;;;0  ;100  
Schwyz;2008;21  ;29  ;9  ;41  ;;;;;;;;;;;;;;;;;;;;;;;;;0  ;100  
Schwyz;2012;23  ;29  ;10  ;35  ;;;;;;;;0  ;;;;1  ;;;;;;;;;;;;;2  ;100  
Schwyz;2012;23  ;29  ;10  ;35  ;;;;;;;;0  ;;;;1  ;;;;;;;;;;;;;2  ;100  
Schwyz;2012;23  ;29  ;10  ;35  ;;;;;;;;0  ;;;;1  ;;;;;;;;;;;;;2  ;100  
Schwyz;2012;23  ;29  ;10  ;35  ;;;;;;;;0  ;;;;1  ;;;;;;;;;;;;;2  ;100  
Schwyz;2016;22  ;27  ;13  ;33  ;;;;0  ;;;3  ;;;;;1  ;;;;;;;;;;;;;1  ;100  
Solothurn;1969;66  ;36  ;36  ;;;;6  ;;;;;;;;;;;;;;;;;;;;;;;144  
Solothurn;1973;65  ;40  ;37  ;;;;1  ;;;;;;;;1  ;;;;;;;;;;;;;;;144  
Solothurn;1977;65  ;41  ;37  ;;;;;;;;;;;;1  ;;;;0  ;;;;;;;;;;;144  
Solothurn;1981;66  ;45  ;33  ;;;;0  ;;;;;;;;0  ;;;;;;;;;;;;;;0  ;144  
Solothurn;1985;64  ;44  ;32  ;;;;0  ;;;;;;;;;;4  ;;0  ;;;;;;;;;;0  ;144  
Solothurn;1989;53  ;42  ;33  ;;;;0  ;0  ;;;;;;;;;9  ;;0  ;;;7  ;;;;;;;0  ;144  
Solothurn;1993;54  ;39  ;36  ;0  ;;;0  ;0  ;;;;;;;;8  ;;;0  ;;;7  ;;;;;;;0  ;144  
Solothurn;1997;54  ;36  ;37  ;7  ;;;;;;;;;;;;6  ;;;;;;4  ;;;;;;;0  ;144  
Solothurn;2001;53  ;32  ;37  ;21  ;;;;;;;;;;;;1  ;;;;;;;;;;;;;0  ;144  
Solothurn;2005;30  ;23  ;25  ;17  ;;;;1  ;;;;;;;;4  ;;;;;;;;;;;;;0  ;100  
Solothurn;2005;30  ;23  ;25  ;17  ;;;;1  ;;;;;;;;4  ;;;;;;;;;;;;;0  ;100  
Solothurn;2009;27  ;25  ;21  ;18  ;;;;1  ;;;2  ;;;;;6  ;;;;;0  ;;;;;;;;0  ;100  
Solothurn;2009;27  ;25  ;21  ;18  ;;;;1  ;;;2  ;;;;;6  ;;;;;0  ;;;;;;;;0  ;100  
Solothurn;2009;27  ;25  ;21  ;18  ;;;;1  ;;;2  ;;;;;6  ;;;;;0  ;;;;;;;;0  ;100  
Solothurn;2009;27  ;25  ;21  ;18  ;;;;1  ;;;2  ;;;;;6  ;;;;;0  ;;;;;;;;0  ;100  
Solothurn;2013;26  ;22  ;19  ;19  ;;;;1  ;;;4  ;2  ;;;;7  ;;;;;0  ;;;;;;;;;100  
Solothurn;2013;26  ;22  ;19  ;19  ;;;;1  ;;;4  ;2  ;;;;7  ;;;;;0  ;;;;;;;;;100  
Solothurn;2013;26  ;22  ;19  ;19  ;;;;1  ;;;4  ;2  ;;;;7  ;;;;;0  ;;;;;;;;;100  
Solothurn;2017;26  ;20  ;23  ;18  ;;;;1  ;;;3  ;2  ;;;;7  ;;;;;0  ;;;;;;;;0  ;100  
St. Gallen;1968;65  ;96  ;29  ;;;;14  ;;;;;;;;;;;;;;;;;;;;;;0  ;204  
St. Gallen;1972;52  ;92  ;21  ;0  ;;;7  ;1  ;;;;;;;;;;;;7  ;;;;;;;;;0  ;180  
St. Gallen;1976;52  ;91  ;28  ;;;;7  ;1  ;;;;;;;;;;;0  ;1  ;;;;;;;;;0  ;180  
St. Gallen;1980;53  ;94  ;27  ;0  ;;;6  ;0  ;;;;;;;;;;;;;;;;;;;;;0  ;180  
St. Gallen;1984;52  ;88  ;24  ;0  ;;;13  ;2  ;;;;;;;;;1  ;;;;;;;;;;;;0  ;180  
St. Gallen;1988;50  ;81  ;24  ;0  ;;;11  ;2  ;;;;;;;;;3  ;;0  ;;;7  ;;;;;;;2  ;180  
St. Gallen;1992;45  ;69  ;30  ;;;;9  ;2  ;;;;;;;;3  ;;;1  ;;;19  ;;;;;;;2  ;180  
St. Gallen;1996;44  ;66  ;34  ;14  ;;;7  ;2  ;;;;;;;;3  ;0  ;;0  ;;;10  ;;;;;;;0  ;180  
St. Gallen;2000;40  ;62  ;27  ;42  ;;;3  ;2  ;;;;;;;;3  ;;;0  ;;0  ;;;;;;;;1  ;180  
St. Gallen;2004;32  ;55  ;35  ;45  ;;;;2  ;;;;;;;;10  ;;;0  ;;0  ;;;;;;;;1  ;180  
St. Gallen;2008;23  ;33  ;16  ;41  ;;;;2  ;;;1  ;;;;;4  ;;;0  ;;0  ;;;;;;;;0  ;120  
St. Gallen;2008;23  ;33  ;16  ;41  ;;;;2  ;;;1  ;;;;;4  ;;;0  ;;0  ;;;;;;;;0  ;120  
St. Gallen;2008;23  ;33  ;16  ;41  ;;;;2  ;;;1  ;;;;;4  ;;;0  ;;0  ;;;;;;;;0  ;120  
St. Gallen;2008;23  ;33  ;16  ;41  ;;;;2  ;;;1  ;;;;;4  ;;;0  ;;0  ;;;;;;;;0  ;120  
St. Gallen;2012;22  ;29  ;20  ;35  ;;;;2  ;;;5  ;2  ;;;;5  ;;;0  ;;0  ;;;;;;;;0  ;120  
St. Gallen;2012;22  ;29  ;20  ;35  ;;;;2  ;;;5  ;2  ;;;;5  ;;;0  ;;0  ;;;;;;;;0  ;120  
St. Gallen;2012;22  ;29  ;20  ;35  ;;;;2  ;;;5  ;2  ;;;;5  ;;;0  ;;0  ;;;;;;;;0  ;120  
St. Gallen;2012;22  ;29  ;20  ;35  ;;;;2  ;;;5  ;2  ;;;;5  ;;;0  ;;0  ;;;;;;;;0  ;120  
St. Gallen;2016;26  ;26  ;20  ;40  ;;;;0  ;;;2  ;0  ;;;;5  ;;;;;0  ;;;;;;;;1  ;120  
Tessin;1971;35  ;31  ;12  ;3  ;;;;;;;;;2  ;6  ;;;;;;;;;;;;;;;1  ;90  
Tessin;1975;35  ;31  ;12  ;3  ;;;;;;;;;3  ;6  ;;;;;0  ;;;;;;;;;;0  ;90  
Tessin;1979;35  ;30  ;12  ;3  ;;;;;;;;;2  ;8  ;;;;;;;;;;;;;;;;90  
Tessin;1983;35  ;30  ;12  ;3  ;;;;;;;;;2  ;8  ;;;;;;;;;;;;;;;0  ;90  
Tessin;1987;33  ;28  ;11  ;2  ;;;;;;;;;2  ;7  ;;2  ;;;0  ;;;;;;;;;;5  ;90  
Tessin;1991;29  ;27  ;9  ;2  ;;;;;;;;;;9  ;;1  ;;;0  ;;;;12  ;;;;;;1  ;90  
Tessin;1995;30  ;25  ;15  ;1  ;;;;;;;;;1  ;;;1  ;;;;;;;16  ;;;;;;1  ;90  
Tessin;1999;29  ;23  ;15  ;3  ;;;;;;;;;0  ;;;2  ;;;;;;;16  ;;2  ;;;;0  ;90  
Tessin;2003;30  ;24  ;16  ;6  ;;;;;;;;;1  ;;;2  ;;;;;;;11  ;;0  ;;;;0  ;90  
Tessin;2007;27  ;21  ;18  ;5  ;;;;;;;;;0  ;;;4  ;;;;;0  ;;15  ;;;;;;0  ;90  
Tessin;2007;27  ;21  ;18  ;5  ;;;;;;;;;0  ;;;4  ;;;;;0  ;;15  ;;;;;;0  ;90  
Tessin;2007;27  ;21  ;18  ;5  ;;;;;;;;;0  ;;;4  ;;;;;0  ;;15  ;;;;;;0  ;90  
Tessin;2007;27  ;21  ;18  ;5  ;;;;;;;;;0  ;;;4  ;;;;;0  ;;15  ;;;;;;0  ;90  
Tessin;2011;23  ;19  ;14  ;5  ;;;;;;;;;;;;7  ;;;;;;;21  ;;;;;;1  ;90  
Tessin;2011;23  ;19  ;14  ;5  ;;;;;;;;;;;;7  ;;;;;;;21  ;;;;;;1  ;90  
Tessin;2011;23  ;19  ;14  ;5  ;;;;;;;;;;;;7  ;;;;;;;21  ;;;;;;1  ;90  
Tessin;2011;23  ;19  ;14  ;5  ;;;;;;;;;;;;7  ;;;;;;;21  ;;;;;;1  ;90  
Tessin;2015;24  ;17  ;13  ;3  ;;;;;;;0  ;;0  ;;;6  ;;;;;;;22  ;;;;;;5  ;90  
Tessin;2015;24  ;17  ;13  ;3  ;;;;;;;0  ;;0  ;;;6  ;;;;;;;22  ;;;;;;5  ;90  
Thurgau;1968;27  ;32  ;28  ;34  ;;;0  ;8  ;;;;;;;;;;;;;;;;;;;;;;129  
Thurgau;1972;27  ;34  ;22  ;34  ;;;1  ;7  ;;;;;;;;;;;1  ;4  ;;;;;;;;;;130  
Thurgau;1976;24  ;32  ;25  ;39  ;;;1  ;7  ;;;;;;;;;;;1  ;1  ;;;;;;;;;;130  
Thurgau;1980;26  ;31  ;27  ;37  ;;;1  ;8  ;;;;;;;;;;;0  ;;;;;;;;;;;130  
Thurgau;1984;25  ;31  ;21  ;37  ;;;2  ;7  ;;;;;;;;6  ;;;1  ;;;;;;;;;;0  ;130  
Thurgau;1988;23  ;27  ;20  ;33  ;;;0  ;6  ;;;;;;;;11  ;;;0  ;;;10  ;;;;;;;0  ;130  
Thurgau;1992;23  ;26  ;23  ;32  ;;;;6  ;;;;;;;;10  ;;;0  ;;;10  ;;;;;;;0  ;130  
Thurgau;1996;25  ;25  ;20  ;38  ;;;;4  ;;;;;;;;11  ;;;;;;7  ;;;;;;;0  ;130  
Thurgau;2000;24  ;27  ;22  ;42  ;;;;5  ;;;;;;;;8  ;;;0  ;;1  ;1  ;;;;;;;0  ;130  
Thurgau;2004;20  ;22  ;23  ;47  ;;;;4  ;;;;;;;;13  ;;;;;1  ;;;;;;;;0  ;130  
Thurgau;2008;18  ;22  ;17  ;51  ;;;;6  ;;;2  ;;;;;11  ;;;;;3  ;;;;;;;;0  ;130  
Thurgau;2008;18  ;22  ;17  ;51  ;;;;6  ;;;2  ;;;;;11  ;;;;;3  ;;;;;;;;0  ;130  
Thurgau;2008;18  ;22  ;17  ;51  ;;;;6  ;;;2  ;;;;;11  ;;;;;3  ;;;;;;;;0  ;130  
Thurgau;2008;18  ;22  ;17  ;51  ;;;;6  ;;;2  ;;;;;11  ;;;;;3  ;;;;;;;;0  ;130  
Thurgau;2012;18  ;21  ;19  ;41  ;;;;5  ;;;6  ;5  ;;;;9  ;;;;;6  ;;;;;;;;;130  
Thurgau;2012;18  ;21  ;19  ;41  ;;;;5  ;;;6  ;5  ;;;;9  ;;;;;6  ;;;;;;;;;130  
Thurgau;2012;18  ;21  ;19  ;41  ;;;;5  ;;;6  ;5  ;;;;9  ;;;;;6  ;;;;;;;;;130  
Thurgau;2012;18  ;21  ;19  ;41  ;;;;5  ;;;6  ;5  ;;;;9  ;;;;;6  ;;;;;;;;;130  
Thurgau;2016;20  ;20  ;17  ;44  ;;;;5  ;;;7  ;3  ;;;;9  ;;;;;5  ;;;;;;;;;130  
Uri;1968;16  ;41  ;4  ;;;;;;;;;;;;;;;;;;;;;;;;;;;61  
Uri;1972;16  ;43  ;5  ;;;;;;;;;;;;;;;;;;;;;;;;;;;64  
Uri;1976;18  ;41  ;5  ;;;;;;;;;;;;;;;;;;;;;;;;;;;64  
Uri;1980;19  ;40  ;5  ;;;;;;;;;;;;;;;;;;;;;;;;;;;64  
Uri;1984;17  ;41  ;6  ;;;;;;;;;;;;;;;;;;;;;;;;;;;64  
Uri;1988;17  ;41  ;6  ;;;;;;;;;;;;;;;;;;;;;;;;;;;64  
Uri;1992;17  ;36  ;7  ;;;;;;;;;;;;;;3  ;;;;;;;;;;;;1  ;64  
Uri;1996;19  ;37  ;8  ;;;;;;;;;;;;;;;;;;;;;;;;;;;64  
Uri;2000;21  ;29  ;9  ;4  ;;;;;;;;;;;;1  ;;;;;;;;;;;;;;64  
Uri;2004;15  ;29  ;8  ;9  ;;;;;;;;;;;;2  ;;;;;;;;;;;;;1  ;64  
Uri;2008;11  ;24  ;7  ;18  ;;;;;;;;;;;;3  ;;;;;;;;;;;;;1  ;64  
Uri;2008;11  ;24  ;7  ;18  ;;;;;;;;;;;;3  ;;;;;;;;;;;;;1  ;64  
Uri;2008;11  ;24  ;7  ;18  ;;;;;;;;;;;;3  ;;;;;;;;;;;;;1  ;64  
Uri;2008;11  ;24  ;7  ;18  ;;;;;;;;;;;;3  ;;;;;;;;;;;;;1  ;64  
Uri;2012;15  ;23  ;9  ;14  ;;;;;;;;;;;;2  ;;;;;;;;;;;;;1  ;64  
Uri;2012;15  ;23  ;9  ;14  ;;;;;;;;;;;;2  ;;;;;;;;;;;;;1  ;64  
Uri;2012;15  ;23  ;9  ;14  ;;;;;;;;;;;;2  ;;;;;;;;;;;;;1  ;64  
Uri;2012;15  ;23  ;9  ;14  ;;;;;;;;;;;;2  ;;;;;;;;;;;;;1  ;64  
Uri;2016;18  ;22  ;8  ;15  ;;;;;;;;;;;;1  ;;;;;;;;;;;;;0  ;64  
Waadt;1970;74  ;7  ;53  ;15  ;;32  ;;;;;;;16  ;;;;;;;;;;;;;;;;0  ;197  
Waadt;1974;70  ;8  ;53  ;14  ;;34  ;;;;;;;16  ;;;;;;5  ;;;;;;;;;;0  ;200  
Waadt;1978;67  ;7  ;60  ;14  ;;37  ;;;;;;;11  ;;;4  ;;;;;;;;;;;;;0  ;200  
Waadt;1982;68  ;5  ;53  ;15  ;;47  ;;;;;;;6  ;;;6  ;;;;;;;;;;;;;0  ;200  
Waadt;1986;70  ;5  ;52  ;13  ;;45  ;;;;;;;3  ;;;5  ;1  ;;6  ;;;;;;;;;;0  ;200  
Waadt;1990;71  ;4  ;52  ;15  ;;42  ;0  ;;;;;;4  ;;;12  ;;;;;;;;;;;;;0  ;200  
Waadt;1994;68  ;2  ;55  ;17  ;;41  ;;;;;;;7  ;;;10  ;0  ;;;;;;;;;;;;0  ;200  
Waadt;1998;54  ;3  ;46  ;14  ;;35  ;;;;;;;12  ;;;16  ;;0  ;;;;;;;;;;;0  ;180  
Waadt;2002;44  ;2  ;46  ;22  ;;31  ;;;;;;;12  ;;;21  ;;0  ;0  ;;0  ;;;;;;;;2  ;180  
Waadt;2007;29  ;3  ;39  ;26  ;;22  ;;;;;;;4  ;;;24  ;;1  ;;;1  ;;;;;;;;1  ;150  
Waadt;2007;29  ;3  ;39  ;26  ;;22  ;;;;;;;4  ;;;24  ;;1  ;;;1  ;;;;;;;;1  ;150  
Waadt;2007;29  ;3  ;39  ;26  ;;22  ;;;;;;;4  ;;;24  ;;1  ;;;1  ;;;;;;;;1  ;150  
Waadt;2007;29  ;3  ;39  ;26  ;;22  ;;;;;;;4  ;;;24  ;;1  ;;;1  ;;;;;;;;1  ;150  
Waadt;2007;29  ;3  ;39  ;26  ;;22  ;;;;;;;4  ;;;24  ;;1  ;;;1  ;;;;;;;;1  ;150  
Waadt;2012;38  ;4  ;41  ;27  ;;9  ;;0  ;;;7  ;;2  ;;;19  ;;2  ;;;;;;0  ;;;;;1  ;150  
Waadt;2012;38  ;4  ;41  ;27  ;;9  ;;0  ;;;7  ;;2  ;;;19  ;;2  ;;;;;;0  ;;;;;1  ;150  
Waadt;2012;38  ;4  ;41  ;27  ;;9  ;;0  ;;;7  ;;2  ;;;19  ;;2  ;;;;;;0  ;;;;;1  ;150  
Waadt;2012;38  ;4  ;41  ;27  ;;9  ;;0  ;;;7  ;;2  ;;;19  ;;2  ;;;;;;0  ;;;;;1  ;150  
Waadt;2012;38  ;4  ;41  ;27  ;;9  ;;0  ;;;7  ;;2  ;;;19  ;;2  ;;;;;;0  ;;;;;1  ;150  
Wallis;1969;26  ;84  ;13  ;;;;;;;;;;;;;;;;;;;;;;;;;;7  ;130  
Wallis;1973;26  ;83  ;10  ;;;;0  ;;;;;;;;;;;;;;;;;;;;;;11  ;130  
Wallis;1977;25  ;83  ;15  ;;;;;;;;;;;;;;;;;;;;;;;;;;7  ;130  
Wallis;1981;30  ;80  ;11  ;;;;;;;;;;;;;;;;;;;;;;;;;;9  ;130  
Wallis;1985;32  ;80  ;12  ;;;3  ;;;;;;;;;;;;;;;;;;;;;;;3  ;130  
Wallis;1989;32  ;79  ;14  ;;;3  ;;;;;;;;;;0  ;;;;;;;;;;;;;2  ;130  
Wallis;1993;34  ;75  ;16  ;;;5  ;;;;;;;;;;;;;;;;;;;;;;;;130  
Wallis;1997;34  ;71  ;21  ;;;4  ;;;;;;;;;;;;;;;;;;;;;;;;130  
